#OTU ID	BS1
ZOTU_1182	0
ZOTU_1183	0
ZOTU_1184	0
ZOTU_1185	0
ZOTU_1186	0
ZOTU_1187	0
ZOTU_1188	0
ZOTU_1189	0
ZOTU_1190	0
ZOTU_1191	0
ZOTU_1192	0
ZOTU_1193	0
ZOTU_1194	0
ZOTU_1195	0
ZOTU_1196	0
ZOTU_1197	0
ZOTU_1198	0
ZOTU_1199	0
ZOTU_1200	0
ZOTU_1201	3
ZOTU_1202	0
ZOTU_1203	14
ZOTU_1204	0
ZOTU_1205	0
ZOTU_1206	0
ZOTU_1207	0
ZOTU_1208	0
ZOTU_1209	0
ZOTU_1210	0
ZOTU_1211	0
ZOTU_1212	0
ZOTU_1213	0
ZOTU_1214	1
ZOTU_1215	0
ZOTU_1216	0
ZOTU_1217	0
ZOTU_1218	0
ZOTU_1219	0
ZOTU_1220	0
ZOTU_1221	0
ZOTU_1222	0
ZOTU_1223	0
ZOTU_1224	0
ZOTU_1225	0
ZOTU_1226	0
ZOTU_1227	0
ZOTU_1228	14
ZOTU_1229	0
ZOTU_1230	0
ZOTU_1231	0
ZOTU_1232	0
ZOTU_1233	11
ZOTU_1234	0
ZOTU_1235	0
ZOTU_1236	0
ZOTU_1237	0
ZOTU_1238	0
ZOTU_1239	22
ZOTU_1240	58
ZOTU_1241	0
ZOTU_1242	0
ZOTU_1243	0
ZOTU_1244	0
ZOTU_1245	0
ZOTU_1246	0
ZOTU_1247	0
ZOTU_1248	0
ZOTU_1249	0
ZOTU_1250	0
ZOTU_1251	0
ZOTU_1252	0
ZOTU_1253	7
ZOTU_1254	0
ZOTU_1255	0
ZOTU_1256	0
ZOTU_1257	0
ZOTU_1258	54
ZOTU_1259	0
ZOTU_1260	0
ZOTU_1261	0
ZOTU_1262	59
ZOTU_1263	0
ZOTU_1264	8
ZOTU_1265	0
ZOTU_1266	0
ZOTU_1267	0
ZOTU_1268	2
ZOTU_1269	0
ZOTU_1270	0
ZOTU_1271	0
ZOTU_1272	0
ZOTU_1273	3
ZOTU_1274	0
ZOTU_1275	0
ZOTU_1276	0
ZOTU_1277	0
ZOTU_1278	0
ZOTU_1279	0
ZOTU_1280	0
ZOTU_1281	0
ZOTU_1282	0
ZOTU_1283	12
ZOTU_1284	0
ZOTU_1285	0
ZOTU_1286	0
ZOTU_1287	2
ZOTU_1288	0
ZOTU_1289	0
ZOTU_1290	0
ZOTU_1291	0
ZOTU_1292	13
ZOTU_1293	14
ZOTU_1294	0
ZOTU_1295	25
ZOTU_1296	0
ZOTU_1297	19
ZOTU_1298	0
ZOTU_1299	0
ZOTU_1300	0
ZOTU_1301	0
ZOTU_1302	0
ZOTU_1303	0
ZOTU_1304	0
ZOTU_1305	0
ZOTU_1306	10
ZOTU_1307	0
ZOTU_1308	0
ZOTU_1309	0
ZOTU_1310	14
ZOTU_1311	0
ZOTU_1312	0
ZOTU_1313	1
ZOTU_1314	0
ZOTU_1315	0
ZOTU_1316	0
ZOTU_1317	0
ZOTU_1318	0
ZOTU_1319	0
ZOTU_1320	0
ZOTU_1321	0
ZOTU_1322	3
ZOTU_1323	22
ZOTU_1324	0
ZOTU_1325	61
ZOTU_1326	0
ZOTU_1327	0
ZOTU_1328	0
ZOTU_1329	0
ZOTU_1330	0
ZOTU_1331	0
ZOTU_1332	0
ZOTU_1333	0
ZOTU_1334	0
ZOTU_1335	0
ZOTU_1336	0
ZOTU_1337	0
ZOTU_1338	0
ZOTU_1339	13
ZOTU_1340	0
ZOTU_1341	0
ZOTU_1342	0
ZOTU_1343	0
ZOTU_1344	0
ZOTU_1345	0
ZOTU_1346	0
ZOTU_1347	0
ZOTU_1348	0
ZOTU_1349	0
ZOTU_1350	4
ZOTU_1351	0
ZOTU_1352	0
ZOTU_1353	0
ZOTU_1354	0
ZOTU_1355	0
ZOTU_1356	70
ZOTU_1357	1
ZOTU_1358	0
ZOTU_1359	0
ZOTU_1361	0
ZOTU_1362	0
ZOTU_1363	0
ZOTU_1364	0
ZOTU_1365	0
ZOTU_1366	0
ZOTU_1367	0
ZOTU_1368	0
ZOTU_1369	0
ZOTU_1370	0
ZOTU_1371	0
ZOTU_1372	1
ZOTU_1373	16
ZOTU_1374	0
ZOTU_1375	0
ZOTU_1376	0
ZOTU_1377	0
ZOTU_1378	0
ZOTU_1379	0
ZOTU_1380	0
ZOTU_1381	0
ZOTU_1382	14
ZOTU_1383	9
ZOTU_1384	0
ZOTU_1385	0
ZOTU_1386	1
ZOTU_1387	5
ZOTU_1388	0
ZOTU_1389	0
ZOTU_1390	0
ZOTU_1391	0
ZOTU_1392	0
ZOTU_1393	2
ZOTU_1394	1
ZOTU_1395	0
ZOTU_1396	11
ZOTU_1397	0
ZOTU_1398	2
ZOTU_1399	0
ZOTU_1400	0
ZOTU_1401	0
ZOTU_1402	0
