#OTU ID	S1	S2	S3	S4	S5	Y1	Y2	Y3	Y4	Y5	Y6	Y7	Y8	H1	H2	H3	H4	H5
ZOTU_218	0	158	0	0	71	13	0	1	0	0	10	51	0	0	0	0	0	0
ZOTU_219	0	0	0	0	0	0	1	0	0	0	0	289	0	0	0	0	0	0
ZOTU_221	0	1	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	2
ZOTU_222	0	99	0	0	0	18	14	1	0	4	1	201	0	0	0	0	0	10
ZOTU_223	0	0	0	4	67	120	1	0	0	9	3	1	59	0	1	8	5	39
ZOTU_224	5	34	0	143	25	6	2	19	0	11	0	0	0	0	51	51	0	1
ZOTU_225	0	43	6	1	31	27	6	41	0	1	4	1	23	1	83	24	35	1
ZOTU_226	69	4	1	11	102	29	0	32	0	39	1	12	2	29	0	35	1	5
ZOTU_227	0	0	0	0	0	0	0	0	0	0	0	281	0	0	0	0	0	0
ZOTU_228	0	1	1	0	0	0	0	0	12	1	0	289	0	19	0	0	0	0
ZOTU_230	0	7	17	13	4	118	0	63	0	0	0	1	0	0	53	35	21	2
ZOTU_231	1	0	30	117	0	49	0	49	0	1	0	0	0	0	18	8	0	0
ZOTU_232	0	0	0	0	0	0	0	0	0	0	0	245	32	0	0	0	0	0
ZOTU_233	1	0	0	0	38	0	2	0	0	0	0	0	0	0	57	0	1	184
ZOTU_234	59	0	2	79	0	3	26	0	21	40	0	35	6	0	0	0	8	3
ZOTU_235	0	0	0	0	0	5	40	10	3	38	8	179	0	10	1	1	2	10
ZOTU_237	0	263	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU_238	4	11	12	20	22	50	9	0	0	8	4	18	1	16	57	15	103	7
ZOTU_240	0	0	0	26	0	200	2	0	0	2	45	0	0	4	0	9	0	0
ZOTU_241	1	0	0	1	0	1	0	1	0	13	0	239	0	1	17	1	1	0
ZOTU_242	0	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU_243	1	1	0	0	31	179	4	0	1	26	1	24	8	37	65	0	21	3
ZOTU_244	0	0	0	0	0	0	0	246	0	37	0	0	0	0	0	0	0	0
ZOTU_245	15	6	134	0	0	1	5	0	0	12	0	0	0	53	0	0	35	22
ZOTU_246	0	7	0	4	65	54	75	0	1	6	0	1	22	2	54	18	1	18
ZOTU_247	0	0	0	0	0	0	0	0	0	0	0	259	1	0	0	0	0	0
ZOTU_248	0	0	0	0	0	265	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU_249	90	0	0	4	0	0	59	0	34	0	0	2	0	44	39	1	1	0
ZOTU_250	78	32	0	0	0	0	3	0	0	0	1	1	29	5	112	0	5	1
ZOTU_251	0	0	122	28	0	0	37	0	1	12	1	38	36	0	0	0	0	15
ZOTU_252	0	0	76	0	189	0	7	0	0	6	1	1	0	0	2	0	0	0
ZOTU_254	0	1	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0
ZOTU_255	138	0	0	0	1	0	0	0	0	0	0	0	0	0	146	3	0	3
ZOTU_256	0	77	24	0	3	19	3	145	8	10	1	8	0	5	10	0	0	0
ZOTU_257	0	7	0	1	22	0	16	214	1	1	8	0	0	0	0	1	1	1
ZOTU_258	5	1	0	1	86	168	0	0	0	0	0	7	1	0	34	0	1	0
